"data","candidato","valor","voto"
"2014-08-24","Dilma Rousseff",43,"valido"
"2014-08-24","Marina Silva",29,"valido"
"2014-08-24","Outros",5,"valido"
"2014-08-25","Aécio Neves",23,"valido"
"2014-08-25","Dilma Rousseff",42,"valido"
"2014-08-25","Marina Silva",31,"valido"
"2014-08-25","Outros",5,"valido"
"2014-08-29","Aécio Neves",21,"valido"
"2014-08-29","Dilma Rousseff",41,"valido"
"2014-08-29","Marina Silva",33,"valido"
"2014-08-29","Outros",4,"valido"
"2014-09-02","Aécio Neves",19,"valido"
"2014-09-02","Dilma Rousseff",41,"valido"
"2014-09-02","Marina Silva",37,"valido"
"2014-09-02","Outros",4,"valido"
"2014-09-03","Aécio Neves",18,"valido"
"2014-09-03","Dilma Rousseff",40,"valido"
"2014-09-03","Marina Silva",37,"valido"
"2014-09-03","Outros",4,"valido"
"2014-09-07","Aécio Neves",17,"valido"
"2014-09-07","Dilma Rousseff",41,"valido"
"2014-09-07","Marina Silva",39,"valido"
"2014-09-07","Outros",4,"valido"
"2014-09-08","Aécio Neves",17,"valido"
"2014-09-08","Dilma Rousseff",43,"valido"
"2014-09-08","Marina Silva",38,"valido"
"2014-09-08","Outros",3,"valido"
"2014-09-09","Aécio Neves",17,"valido"
"2014-09-09","Dilma Rousseff",42,"valido"
"2014-09-09","Marina Silva",38,"valido"
"2014-09-09","Outros",3,"valido"
"2014-09-14","Aécio Neves",17,"valido"
"2014-09-14","Dilma Rousseff",43,"valido"
"2014-09-14","Marina Silva",37,"valido"
"2014-09-14","Outros",2,"valido"
"2014-09-15","Aécio Neves",19,"valido"
"2014-09-15","Dilma Rousseff",43,"valido"
"2014-09-15","Marina Silva",36,"valido"
"2014-09-15","Outros",2,"valido"
"2014-09-18","Aécio Neves",19,"valido"
"2014-09-18","Dilma Rousseff",42,"valido"
"2014-09-18","Marina Silva",35,"valido"
"2014-09-18","Outros",3,"valido"
"2014-09-21","Aécio Neves",21,"valido"
"2014-09-21","Dilma Rousseff",43,"valido"
"2014-09-21","Marina Silva",34,"valido"
"2014-09-21","Outros",3,"valido"
"2014-09-22","Aécio Neves",21,"valido"
"2014-09-22","Dilma Rousseff",43,"valido"
"2014-09-22","Marina Silva",34,"valido"
"2014-09-22","Outros",2,"valido"
"2014-09-23","Aécio Neves",21,"valido"
"2014-09-23","Dilma Rousseff",44,"valido"
"2014-09-23","Marina Silva",32,"valido"
"2014-09-23","Outros",3,"valido"
"2014-09-26","Aécio Neves",21,"valido"
"2014-09-26","Dilma Rousseff",45,"valido"
"2014-09-26","Marina Silva",31,"valido"
"2014-09-26","Outros",3,"valido"
